transaction_id,transaction_date,account_code,department_code,amount,amount_type,description
TX-001,2024-01-05,4000,D01,18500,Credit,January retail sales
TX-002,2024-01-05,5000,D02,9200,Debit,January merchandise procurement
TX-003,2024-01-10,6000,D02,4100,Debit,Operations payroll
TX-004,2024-01-10,6100,D02,1800,Debit,Warehouse rent
TX-005,2024-01-15,6200,D04,1200,Debit,Winter campaign
TX-006,2024-01-20,4010,D01,4200,Credit,After-sales service revenue
TX-007,2024-01-20,6300,D05,950,Debit,ERP support contract
TX-008,2024-01-25,6000,D03,2600,Debit,Finance payroll
TX-009,2024-02-05,4000,D01,20100,Credit,February retail sales
TX-010,2024-02-05,5000,D02,10150,Debit,February merchandise procurement
TX-011,2024-02-10,5100,D02,1800,Debit,Inbound logistics
TX-012,2024-02-10,6000,D02,4150,Debit,Operations payroll
TX-013,2024-02-15,6200,D04,1700,Debit,Promotion and digital ads
TX-014,2024-02-15,4010,D01,4600,Credit,Technical support contracts
TX-015,2024-02-20,6100,D02,1800,Debit,Warehouse rent
TX-016,2024-02-20,6300,D05,980,Debit,Infrastructure monitoring
TX-017,2024-02-25,6000,D03,2650,Debit,Finance payroll
TX-018,2024-03-05,4000,D01,22300,Credit,March retail sales
TX-019,2024-03-05,5000,D02,10950,Debit,March merchandise procurement
TX-020,2024-03-10,5100,D02,1900,Debit,Regional delivery cost
TX-021,2024-03-10,6000,D02,4200,Debit,Operations payroll
TX-022,2024-03-15,4010,D01,5100,Credit,Enterprise service revenue
TX-023,2024-03-15,6200,D04,2100,Debit,Brand campaign
TX-024,2024-03-20,6100,D02,1800,Debit,Warehouse rent
TX-025,2024-03-20,6300,D05,990,Debit,Cloud reporting tools
TX-026,2024-03-25,6000,D03,2700,Debit,Finance payroll

